                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0381,                 1.0776,                 1.3326,                0.77733,                0.75269,                0.76162,                 0.4734,                 1.2647,                 1.3011,                 1.6649,              0.0013385,              0.0013385,              0.0013385
                     34,                 1.0205,                 1.0905,                 1.3291,                0.78744,                0.79129,                0.85493,                0.57688,                 1.1099,                 1.1122,                 1.4883,              0.0013356,              0.0013356,              0.0013356
                     35,                 1.0289,                 1.0586,                 1.2902,                0.70422,                0.71955,                0.80079,                0.55784,                 1.0791,                 1.3277,                  1.435,              0.0013328,              0.0013328,              0.0013328
                     36,                  1.065,                 1.1423,                 1.3548,                0.77409,                0.69494,                0.79062,                0.53784,                 1.1994,                 1.1798,                 1.5436,                0.00133,                0.00133,                0.00133
                     37,                 1.0586,                 1.1499,                 1.3485,                0.82188,                0.77207,                0.84334,                0.58014,                 1.1071,                 1.0751,                 1.4608,              0.0013271,              0.0013271,              0.0013271
                     38,                 1.0078,                 1.0643,                 1.3178,                0.80308,                0.78902,                0.83377,                0.58893,                 1.0795,                 1.0707,                 1.4724,              0.0013243,              0.0013243,              0.0013243
                     39,                 1.0575,                 1.0733,                 1.3477,                0.78574,                0.72717,                0.80991,                 0.5638,                 1.1054,                 1.1413,                  1.477,              0.0013215,              0.0013215,              0.0013215
                     40,                 1.0158,                 1.0686,                  1.341,                0.80988,                0.82348,                0.87027,                 0.6217,                 1.0078,                 1.0072,                 1.4232,              0.0013187,              0.0013187,              0.0013187
                     41,                0.96032,                 1.0024,                 1.2698,                0.80481,                0.81395,                 0.8637,                0.58922,                 1.0723,                 1.0224,                 1.4585,              0.0013158,              0.0013158,              0.0013158
                     42,                 1.0205,                0.98299,                 1.3228,                0.82819,                0.78959,                0.86773,                0.57956,                 1.1373,                 1.0901,                 1.5168,               0.001313,               0.001313,               0.001313
                     43,                  1.016,                 1.0383,                 1.3105,                0.77204,                0.81026,                0.84574,                0.57571,                 1.0529,                  1.045,                 1.4314,              0.0013102,              0.0013102,              0.0013102
                     44,                0.97627,                  0.987,                 1.2752,                0.76755,                0.80584,                0.83896,                0.58312,                 1.0687,                0.95089,                 1.4633,              0.0013073,              0.0013073,              0.0013073
                     45,                0.99823,                 1.0276,                 1.3321,                0.82437,                 0.7761,                0.85086,                0.60522,                 1.0547,                0.98904,                 1.4448,              0.0013045,              0.0013045,              0.0013045
                     46,                 1.0218,                 1.0462,                 1.3202,                0.82982,                0.76149,                0.84625,                0.58901,                 1.0776,                 0.9569,                 1.4796,              0.0013017,              0.0013017,              0.0013017
                     47,                0.96865,                0.95775,                  1.285,                 0.8548,                0.75546,                0.86656,                 0.6066,                 1.0671,                0.96522,                 1.4733,              0.0012988,              0.0012988,              0.0012988
                     48,                 1.0191,                 1.0764,                 1.3258,                0.82556,                0.78564,                0.85271,                0.61919,                 1.0032,                0.96166,                 1.3812,               0.001296,               0.001296,               0.001296
                     49,                 0.9864,                 1.0534,                 1.2937,                0.68448,                0.76947,                0.77453,                0.53733,                 1.0595,                 1.0563,                  1.452,              0.0012932,              0.0012932,              0.0012932
                     50,                 0.9382,                0.95893,                 1.2676,                 0.7497,                0.79689,                0.82688,                0.61609,                 1.0269,                0.99114,                 1.4067,              0.0012904,              0.0012904,              0.0012904
                     51,                0.95254,                0.99456,                 1.3105,                0.76588,                0.74612,                0.82768,                0.59344,                  1.099,                0.99105,                 1.4475,              0.0012875,              0.0012875,              0.0012875
