                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0498,                 3.8436,                 1.2738,                0.34545,                0.10161,                0.12697,                0.08961,                 1.0041,                 3.0069,                 1.2126,             0.00013791,             0.00013791,             0.00013791
                      1,                 1.1377,                 3.0011,                 1.3609,                0.38389,                0.26604,                0.27521,                0.18218,                 1.1039,                 2.5803,                 1.3054,             0.00027637,             0.00027637,             0.00027637
                      2,                 1.1902,                 2.6782,                 1.3973,                0.42119,                0.39366,                 0.3328,                0.21709,                 1.1241,                 2.6416,                 1.3354,             0.00041427,             0.00041427,             0.00041427
                      3,                 1.2467,                 2.5289,                  1.448,                0.51837,                0.48874,                0.47449,                 0.2994,                 1.1866,                 2.4676,                 1.4038,             0.00041452,             0.00041452,             0.00041452
                      4,                 1.2201,                 2.4169,                  1.427,                0.45208,                0.50913,                0.49006,                0.31802,                 1.2245,                 2.3836,                 1.4166,             0.00041452,             0.00041452,             0.00041452
                      5,                 1.2072,                 2.2567,                 1.4169,                0.55228,                0.43347,                0.46008,                0.30062,                 1.2567,                 2.3563,                 1.4372,              0.0004137,              0.0004137,              0.0004137
                      6,                 1.2161,                 2.1791,                 1.4144,                0.57297,                0.47637,                 0.5098,                 0.3152,                 1.2544,                  2.453,                 1.4582,             0.00041287,             0.00041287,             0.00041287
                      7,                  1.203,                 2.1122,                 1.4009,                 0.5399,                0.50559,                0.52011,                0.33553,                 1.2331,                 2.2872,                 1.4447,             0.00041205,             0.00041205,             0.00041205
                      8,                 1.1682,                 2.1092,                 1.3938,                 0.5867,                0.49394,                0.52999,                 0.3433,                 1.2139,                 2.2184,                 1.4206,             0.00041122,             0.00041122,             0.00041122
                      9,                 1.1484,                 2.0484,                 1.3682,                0.54101,                0.50318,                0.53192,                0.34858,                 1.2079,                 2.2528,                 1.4239,             0.00041039,             0.00041039,             0.00041039
                     10,                 1.1379,                 2.0261,                 1.3733,                0.53365,                0.54728,                0.53544,                0.35245,                 1.2246,                 2.2104,                  1.415,             0.00040957,             0.00040957,             0.00040957
                     11,                 1.1476,                 1.9105,                 1.3549,                0.57258,                0.51792,                0.54813,                0.34613,                 1.2021,                 2.1784,                 1.3876,             0.00040874,             0.00040874,             0.00040874
