                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                 1.1232,                 1.9073,                 1.3515,                0.49033,                0.55032,                0.52795,                0.33786,                 1.2366,                 2.0958,                 1.4185,             0.00040792,             0.00040792,             0.00040792
                     13,                  1.113,                 1.8513,                 1.3303,                0.57276,                0.55095,                0.56173,                0.36877,                  1.219,                 2.0726,                 1.4006,             0.00040709,             0.00040709,             0.00040709
                     14,                 1.0998,                 1.7709,                 1.3135,                0.61933,                0.52565,                0.56349,                0.36296,                 1.2414,                 2.0286,                 1.4202,             0.00040627,             0.00040627,             0.00040627
                     15,                 1.0946,                 1.7956,                 1.3343,                0.54258,                0.52818,                0.55152,                0.36445,                 1.2078,                 2.0307,                 1.4043,             0.00040544,             0.00040544,             0.00040544
                     16,                 1.0973,                 1.7469,                 1.3277,                0.62102,                  0.514,                0.56968,                0.38355,                 1.2138,                 1.9976,                 1.4126,             0.00040462,             0.00040462,             0.00040462
                     17,                 1.1027,                 1.7594,                  1.326,                0.55509,                0.52359,                0.55749,                0.36783,                 1.2272,                 2.0186,                 1.4051,             0.00040379,             0.00040379,             0.00040379
                     18,                 1.0814,                 1.7505,                 1.3282,                0.59456,                 0.5205,                 0.5581,                0.36939,                 1.2401,                 2.0021,                  1.441,             0.00040296,             0.00040296,             0.00040296
                     19,                 1.0804,                 1.7285,                 1.3211,                0.56799,                0.52708,                0.55649,                0.37129,                 1.1907,                 1.9368,                 1.3874,             0.00040214,             0.00040214,             0.00040214
                     20,                 1.0659,                 1.7176,                 1.3264,                0.56391,                0.54479,                0.56621,                0.37072,                 1.2471,                 2.0168,                 1.4358,             0.00040131,             0.00040131,             0.00040131
                     21,                 1.0512,                 1.6577,                 1.2956,                0.62569,                 0.4939,                0.56407,                 0.3624,                 1.2775,                 1.9257,                 1.4399,             0.00040049,             0.00040049,             0.00040049
                     22,                 1.0752,                  1.634,                 1.2944,                0.52098,                0.57361,                0.55905,                0.37581,                 1.2486,                  1.959,                 1.4318,             0.00039966,             0.00039966,             0.00039966
                     23,                 1.0592,                 1.6108,                 1.3055,                0.58537,                0.52851,                 0.5587,                0.36044,                 1.2633,                 1.9936,                 1.4493,             0.00039884,             0.00039884,             0.00039884
                     24,                 1.0532,                 1.5946,                 1.2809,                0.60331,                0.55636,                0.57646,                0.37766,                 1.2478,                 1.8854,                 1.4295,             0.00039801,             0.00039801,             0.00039801
                     25,                 1.0337,                 1.5505,                  1.277,                0.66999,                0.51351,                0.57671,                0.37791,                 1.2265,                  1.976,                 1.4048,             0.00039718,             0.00039718,             0.00039718
                     26,                 1.0263,                 1.5768,                 1.2806,                0.57077,                0.54469,                0.55289,                0.36087,                 1.2399,                 1.8945,                 1.4309,             0.00039636,             0.00039636,             0.00039636
                     27,                 1.0192,                 1.5307,                 1.2597,                0.67103,                0.52294,                0.56755,                0.37319,                 1.2636,                 1.9299,                 1.4458,             0.00039553,             0.00039553,             0.00039553
                     28,                 1.0167,                 1.5465,                 1.2725,                0.66263,                0.48092,                0.54581,                 0.3557,                 1.2546,                  1.844,                 1.4393,             0.00039471,             0.00039471,             0.00039471
                     29,                 1.0152,                 1.5297,                 1.2603,                0.61439,                 0.4915,                0.54517,                0.36056,                 1.2651,                 1.9106,                 1.4399,             0.00039388,             0.00039388,             0.00039388
                     30,                 1.0019,                 1.5085,                 1.2664,                0.62765,                0.50889,                0.54712,                 0.3609,                 1.2494,                 1.9065,                 1.4449,             0.00039306,             0.00039306,             0.00039306
                     31,                 1.0171,                 1.4806,                 1.2604,                0.65341,                0.52173,                0.56612,                0.37015,                 1.2633,                 1.8574,                 1.4482,             0.00039223,             0.00039223,             0.00039223
                     32,                 1.0135,                 1.4213,                 1.2483,                0.60906,                0.53203,                0.56678,                0.37097,                 1.2582,                 1.8298,                 1.4259,              0.0003914,              0.0003914,              0.0003914
                     33,                0.98636,                 1.3995,                 1.2429,                  0.542,                0.55111,                0.55409,                0.36404,                  1.239,                 1.8637,                 1.4175,             0.00039058,             0.00039058,             0.00039058
                     34,                 1.0109,                 1.4631,                 1.2538,                0.61357,                0.52302,                0.55764,                0.36572,                 1.2435,                 1.8211,                 1.4267,             0.00038975,             0.00038975,             0.00038975
                     35,                  1.015,                 1.4021,                 1.2598,                0.58571,                0.54275,                0.55017,                0.35704,                 1.2574,                 1.8502,                 1.4377,             0.00038893,             0.00038893,             0.00038893
                     36,                 1.0004,                 1.3915,                 1.2447,                0.64437,                 0.5042,                0.57155,                0.36811,                 1.2512,                 1.8309,                 1.4306,              0.0003881,              0.0003881,              0.0003881
                     37,                0.97688,                 1.3749,                  1.239,                 0.6301,                0.52664,                0.57274,                0.37344,                 1.2571,                 1.7436,                  1.446,             0.00038728,             0.00038728,             0.00038728
                     38,                 1.0002,                 1.3517,                 1.2391,                0.58376,                0.56087,                0.55737,                0.36227,                  1.256,                 1.8249,                 1.4517,             0.00038645,             0.00038645,             0.00038645
                     39,                0.97879,                 1.3537,                 1.2401,                0.61155,                0.49889,                 0.5425,                0.35276,                 1.2317,                 1.8234,                 1.4189,             0.00038562,             0.00038562,             0.00038562
                     40,                0.97784,                 1.3343,                 1.2402,                 0.6119,                0.54166,                0.57297,                0.37058,                 1.2283,                 1.7567,                  1.428,              0.0003848,              0.0003848,              0.0003848
                     41,                 0.9576,                 1.3142,                 1.2237,                0.60778,                0.55554,                0.58124,                0.38042,                 1.2816,                 1.7881,                 1.4466,             0.00038397,             0.00038397,             0.00038397
                     42,                0.95928,                 1.3408,                 1.2328,                0.62027,                0.52359,                 0.5543,                0.36155,                  1.257,                 1.7961,                  1.454,             0.00038315,             0.00038315,             0.00038315
                     43,                0.94776,                 1.2827,                 1.2295,                0.64258,                0.49322,                0.55589,                0.36402,                 1.2612,                 1.8002,                 1.4452,             0.00038232,             0.00038232,             0.00038232
                     44,                0.97993,                 1.3066,                 1.2307,                0.62444,                0.54383,                0.57209,                 0.3738,                 1.2772,                 1.7609,                 1.4735,              0.0003815,              0.0003815,              0.0003815
                     45,                 0.9651,                 1.2314,                 1.2117,                0.62176,                0.57652,                0.58517,                 0.3839,                  1.269,                 1.7121,                 1.4501,             0.00038067,             0.00038067,             0.00038067
                     46,                0.93415,                 1.2563,                 1.2158,                0.70072,                0.52913,                0.60441,                0.39926,                 1.2827,                 1.7178,                 1.4696,             0.00037985,             0.00037985,             0.00037985
                     47,                0.96772,                 1.3185,                 1.2294,                0.65321,                0.52334,                0.57305,                0.37355,                 1.2533,                 1.7211,                 1.4349,             0.00037902,             0.00037902,             0.00037902
                     48,                0.93095,                 1.2271,                  1.196,                0.62829,                0.52069,                0.57507,                0.37226,                 1.2629,                 1.7379,                 1.4529,             0.00037819,             0.00037819,             0.00037819
                     49,                0.93028,                 1.2347,                 1.2004,                0.64674,                0.51203,                0.56369,                0.37193,                 1.2478,                 1.7835,                 1.4613,             0.00037737,             0.00037737,             0.00037737
                     50,                0.91111,                 1.1877,                  1.197,                0.62609,                0.51572,                0.56693,                0.37536,                 1.2707,                 1.7339,                 1.4626,             0.00037654,             0.00037654,             0.00037654
                     51,                0.92423,                 1.1931,                 1.1918,                0.62817,                0.55915,                0.59164,                0.38465,                 1.2602,                 1.6401,                 1.4629,             0.00037572,             0.00037572,             0.00037572
                     52,                0.93475,                  1.183,                 1.2036,                0.61519,                0.53327,                0.55378,                0.35367,                 1.2905,                 1.7378,                 1.4804,             0.00037489,             0.00037489,             0.00037489
                     53,                0.92329,                 1.2209,                 1.2071,                0.65244,                0.49603,                0.55276,                0.36256,                 1.2633,                 1.7157,                 1.4589,             0.00037407,             0.00037407,             0.00037407
                     54,                0.90681,                 1.1742,                 1.1919,                 0.6198,                0.56507,                0.57589,                0.37198,                  1.256,                 1.6445,                  1.434,             0.00037324,             0.00037324,             0.00037324
                     55,                0.91941,                 1.2018,                 1.1878,                0.57678,                0.55735,                0.55367,                0.35844,                 1.2844,                 1.7578,                   1.48,             0.00037241,             0.00037241,             0.00037241
                     56,                0.89569,                 1.1229,                 1.1486,                0.60787,                0.54762,                0.56354,                0.36551,                  1.282,                 1.7185,                 1.4647,             0.00037159,             0.00037159,             0.00037159
                     57,                0.88364,                 1.1526,                 1.1746,                0.63952,                0.51909,                0.56441,                 0.3674,                 1.2833,                 1.6859,                 1.4672,             0.00037076,             0.00037076,             0.00037076
                     58,                0.88406,                 1.1698,                 1.1789,                0.59095,                0.55535,                0.56909,                0.36714,                 1.2558,                 1.6649,                 1.4666,             0.00036994,             0.00036994,             0.00036994
